algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,0,334526.0,84697,0,2211,334526.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1506,0,4158,4158,13422,2211,,6368,39428,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,0,334526.0,68213,2211,2211,334526.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,66002,66002,,4158,1506,66592,4158,4158,13422,2211,,6368,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,0,334526.0,100011,817,2211,334526.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35281,0,,4158,1506,221402,4158,4158,13422,2211,,6368,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,2079,436252.0,84717,0,2239,436252.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1525,0,4158,4158,13422,2239,,6396,39348,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,2079,436252.0,68034,2239,2239,436252.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65795,65795,,4158,1525,66299,4158,4158,13422,2239,,6396,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,2079,436252.0,100303,868,2239,436252.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35335,0,,4158,1525,221812,4158,4158,13422,2239,,6396,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,4157,650350.0,84536,0,2182,650350.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1530,0,4158,4158,13422,2182,,6339,39316,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,4157,650350.0,67653,2181,2182,650350.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65471,65471,,4158,1530,65963,4158,4158,13422,2182,,6339,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,4157,650350.0,100062,842,2182,650350.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35499,0,,4158,1530,221859,4158,4158,13422,2182,,6339,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,0,72840.0,101616,0,3200,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72840.0,0,1490,0,,,,3200,7357,,55982,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,0,72840.0,45047,3153,3200,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41847,41847,72840.0,4158,1490,45202,,,,3200,7357,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",0,0,72840.0,75920,1930,3200,,26844,4158,6.455988455988456,False,81,13422,4158,4158,22058,0,72840.0,4158,1490,154945,,,,3200,7357,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,370165.0,83956,0,2236,370165.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1549,0,4158,4158,13422,2236,,6393,38981,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,370165.0,67811,2236,2236,370165.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65575,65575,,4158,1549,65974,4158,4158,13422,2236,,6393,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,370165.0,99372,814,2236,370165.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,34959,0,,4158,1549,219674,4158,4158,13422,2236,,6393,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,2079,711539.0,83963,0,2271,711539.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1482,0,4158,4158,13422,2271,,6428,38926,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,2079,711539.0,67830,2271,2271,711539.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65559,65559,,4158,1482,65973,4158,4158,13422,2271,,6428,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,2079,711539.0,99176,824,2271,711539.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35096,0,,4158,1482,219164,4158,4158,13422,2271,,6428,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,4157,614961.0,83700,0,2268,614961.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1431,0,4158,4158,13422,2268,,6425,38763,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,4157,614961.0,67349,2266,2268,614961.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65081,65081,,4158,1431,65612,4158,4158,13422,2268,,6425,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,4157,614961.0,99047,827,2268,614961.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35029,0,,4158,1431,218865,4158,4158,13422,2268,,6425,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,72914.0,101066,0,3187,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72914.0,0,1469,0,,,,3187,7344,,55586,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,72914.0,44795,3139,3187,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41608,41608,72914.0,4158,1469,44819,,,,3187,7344,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,72914.0,75634,1907,3187,,26844,4158,6.455988455988456,False,81,13422,4158,4158,21865,0,72914.0,4158,1469,154277,,,,3187,7344,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,380992.0,84584,0,2282,380992.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1491,0,4158,4158,13422,2282,,6439,39281,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,380992.0,68276,2282,2282,380992.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65994,65994,,4158,1491,66514,4158,4158,13422,2282,,6439,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,380992.0,100012,859,2282,380992.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35095,0,,4158,1491,220729,4158,4158,13422,2282,,6439,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,2079,469464.0,84433,0,2283,469464.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1452,0,4158,4158,13422,2283,,6440,39212,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,2079,469464.0,68025,2283,2283,469464.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65742,65742,,4158,1452,66102,4158,4158,13422,2283,,6440,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,2079,469464.0,100034,879,2283,469464.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35547,0,,4158,1452,221217,4158,4158,13422,2283,,6440,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,4157,760264.0,83635,0,2279,760264.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1517,0,4158,4158,13422,2279,,6436,38672,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,4157,760264.0,67662,2279,2279,760264.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65383,65383,,4158,1517,65809,4158,4158,13422,2279,,6436,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,4157,760264.0,99230,875,2279,760264.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35130,0,,4158,1517,219238,4158,4158,13422,2279,,6436,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,72285.0,101983,0,3291,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72285.0,0,1413,0,,,,3291,7448,,56262,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,72285.0,44629,3237,3291,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41338,41338,72285.0,4158,1413,44354,,,,3291,7448,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,72285.0,75286,1982,3291,,26844,4158,6.455988455988456,False,81,13422,4158,4158,21929,0,72285.0,4158,1413,153002,,,,3291,7448,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,411618.0,84037,0,2200,411618.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1552,0,4158,4158,13422,2200,,6357,39058,
