graph_source,graph_family,graph_size,graph_num_edges,graph_average_degree,graph_maximum_degree,graph_parameters,seed,algorithm,heap_type,start_vertex,output_value,runtime_ms,mean_runtime_ms,median_runtime_ms,min_runtime_ms,max_runtime_ms,repeats,runtime_measurement,rss_measurement,max_rss_kbytes,median_max_rss_kbytes,reachable_vertex_count,visited_vertex_count,edge_scan_count,relax_attempt_count,successful_relax_count,successful_key_update_count,priority_queue_memory_bytes
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,binary,0,1477,0.003648,0.00474167,0.003648,0.002336,0.008241,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,30,,356
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,pairing,0,1477,0.021919,0.135865,0.021919,0.010744,0.374933,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,30,,1400
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,fibonacci,0,1477,0.015179,0.02511,0.015179,0.012559,0.047592,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,30,,2112
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,binary,12,1448,0.011297,0.0171843,0.011297,0.006928,0.033328,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,34,,612
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,pairing,12,1448,0.016834,0.0227037,0.016834,0.011047,0.04023,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,34,,1400
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,fibonacci,12,1448,0.018016,0.025452,0.018016,0.013084,0.045256,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,34,,2112
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,binary,24,1790,0.017787,0.0182963,0.017787,0.009756,0.027346,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,35,,356
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,pairing,24,1790,0.015954,0.021171,0.015954,0.010867,0.036692,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,35,,1400
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,dijkstra,fibonacci,24,1790,0.014935,0.02332,0.014935,0.009559,0.045466,3,in_process_steady_clock,child_process_wait4,22132,22132,25,,150,75,35,,2112
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,prim,binary,0,590,0.01138,0.0159977,0.01138,0.006863,0.02975,3,in_process_steady_clock,child_process_wait4,22132,22132,,25,150,,,49,356
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,prim,pairing,0,590,0.015876,0.0220763,0.015876,0.010134,0.040219,3,in_process_steady_clock,child_process_wait4,22132,22132,,25,150,,,49,1400
synthetic,sparse_er_nm,25,75,6,11,"n=25,m=75",0,prim,fibonacci,0,590,0.020514,0.0258123,0.020514,0.011111,0.045812,3,in_process_steady_clock,child_process_wait4,22132,22132,,25,150,,,49,2112
synthetic,sparse_er_nm,50,150,6,12,"n=50,m=150",0,dijkstra,binary,0,2844,0.022363,0.0290483,0.022363,0.014203,0.050579,3,in_process_steady_clock,child_process_wait4,22132,22132,50,,300,150,81,,712
synthetic,sparse_er_nm,50,150,6,12,"n=50,m=150",0,dijkstra,pairing,0,2844,0.033919,0.043663,0.033919,0.02613,0.07094,3,in_process_steady_clock,child_process_wait4,22132,22132,50,,300,150,81,,2800
synthetic,sparse_er_nm,50,150,6,12,"n=50,m=150",0,dijkstra,fibonacci,0,2844,0.035422,0.047913,0.035422,0.025904,0.082413,3,in_process_steady_clock,child_process_wait4,22132,22132,50,,300,150,81,,3712
synthetic,sparse_er_nm,50,150,6,12,"n=50,m=150",0,dijkstra,binary,25,4835,0.022374,0.027585,0.022374,0.013411,0.04697,3,in_process_steady_clock,child_process_wait4,22132,22132,50,,300,150,78,,712
