algorithm,graph_source,graph_family,graph_size,graph_parameters,heap_type,row_count,runtime_measurement,rss_measurement,max_edge_scan_count,max_max_rss_kbytes,max_max_runtime_ms,max_mean_runtime_ms,max_median_max_rss_kbytes,max_median_runtime_ms,max_min_runtime_ms,max_priority_queue_memory_bytes,max_relax_attempt_count,max_runtime_ms,max_successful_key_update_count,max_successful_relax_count,mean_edge_scan_count,mean_max_rss_kbytes,mean_max_runtime_ms,mean_mean_runtime_ms,mean_median_max_rss_kbytes,mean_median_runtime_ms,mean_min_runtime_ms,mean_priority_queue_memory_bytes,mean_relax_attempt_count,mean_runtime_ms,mean_successful_key_update_count,mean_successful_relax_count,median_edge_scan_count,median_max_rss_kbytes,median_max_runtime_ms,median_mean_runtime_ms,median_median_max_rss_kbytes,median_median_runtime_ms,median_min_runtime_ms,median_priority_queue_memory_bytes,median_relax_attempt_count,median_runtime_ms,median_successful_key_update_count,median_successful_relax_count,min_edge_scan_count,min_max_rss_kbytes,min_max_runtime_ms,min_mean_runtime_ms,min_median_max_rss_kbytes,min_median_runtime_ms,min_min_runtime_ms,min_priority_queue_memory_bytes,min_relax_attempt_count,min_runtime_ms,min_successful_key_update_count,min_successful_relax_count
dijkstra,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",binary,30,in_process_steady_clock,child_process_wait4,26844.0,22136.0,3.60902,3.04687,22136.0,2.83742,2.79858,49400.0,13422.0,2.83742,,6475.0,26844.0,13326.8,3.136535333333333,2.8933636666666662,13326.8,2.792936666666667,2.75062,49400.0,13422.0,2.792936666666667,,6391.0,26844.0,12348.0,2.981075,2.85587,12348.0,2.79495,2.774225,49400.0,13422.0,2.79495,,6389.0,26844.0,12348.0,2.93989,2.81027,12348.0,2.76423,2.52386,49400.0,13422.0,2.76423,,6306.0
dijkstra,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",fibonacci,30,in_process_steady_clock,child_process_wait4,26844.0,22136.0,6.50725,6.06199,22136.0,6.17617,5.64316,266624.0,13422.0,6.17617,,6475.0,26844.0,13326.8,6.445526666666666,5.7189076666666665,13326.8,5.954542666666666,4.756653,266624.0,13422.0,5.954542666666666,,6391.0,26844.0,12348.0,6.457125,5.731705,12348.0,6.08887,4.772325,266624.0,13422.0,6.08887,,6389.0,26844.0,12348.0,6.36473,5.28555,12348.0,5.41828,3.81347,266624.0,13422.0,5.41828,,6306.0
dijkstra,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",pairing,30,in_process_steady_clock,child_process_wait4,26844.0,22136.0,5.46395,5.18068,22136.0,5.11719,5.06185,232848.0,13422.0,5.11719,,6475.0,26844.0,13326.8,5.390833333333333,4.853018666666666,13326.8,4.988270666666667,4.1799513333333325,232848.0,13422.0,4.988270666666667,,6391.0,26844.0,12348.0,5.387975,4.8190100000000005,12348.0,5.048435,4.191035,232848.0,13422.0,5.048435,,6389.0,26844.0,12348.0,5.3155,4.56351,12348.0,4.73496,3.24613,232848.0,13422.0,4.73496,,6306.0
dijkstra,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",binary,30,in_process_steady_clock,child_process_wait4,35750.0,22136.0,7.13164,6.04825,22136.0,5.80256,5.74327,52924.0,17875.0,5.80256,,13772.0,35750.0,13326.8,6.168382666666667,5.447592666666668,13326.8,5.481572333333332,4.692819666666667,52924.0,17875.0,5.481572333333332,,13686.733333333334,35750.0,12348.0,5.9968699999999995,5.49921,12348.0,5.6881699999999995,4.80279,52924.0,17875.0,5.6881699999999995,,13689.0,35750.0,12348.0,3.21748,3.01559,12348.0,3.21318,2.61611,52924.0,17875.0,3.21318,,13592.0
dijkstra,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",fibonacci,30,in_process_steady_clock,child_process_wait4,35750.0,22136.0,12.8335,9.68173,22136.0,9.45117,7.08768,716224.0,17875.0,9.45117,,13772.0,35750.0,13326.8,12.117820000000002,8.962252333333334,13326.8,8.560127333333332,6.208808999999999,716224.0,17875.0,8.560127333333332,,13686.733333333334,35750.0,12348.0,12.08065,9.005745000000001,12348.0,8.628975,6.123265,716224.0,17875.0,8.628975,,13689.0,35750.0,12348.0,11.5459,8.38288,12348.0,7.4577,5.46709,716224.0,17875.0,7.4577,,13592.0
dijkstra,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",pairing,30,in_process_steady_clock,child_process_wait4,35750.0,22136.0,11.5494,9.08589,22136.0,9.35765,6.77896,626248.0,17875.0,9.35765,,13772.0,35750.0,13326.8,11.20171,8.521694333333334,13326.8,8.139908666666667,6.223465666666668,626248.0,17875.0,8.139908666666667,,13686.733333333334,35750.0,12348.0,11.2507,8.513225,12348.0,8.228765,6.352684999999999,626248.0,17875.0,8.228765,,13689.0,35750.0,12348.0,10.1219,7.84753,12348.0,6.80486,5.44881,626248.0,17875.0,6.80486,,13592.0
dijkstra,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",binary,30,in_process_steady_clock,child_process_wait4,32428.0,22136.0,7.59346,6.22103,22136.0,5.93645,5.71206,53492.0,16214.0,5.93645,,13227.0,32428.0,13326.8,6.419438333333334,5.540327333333334,13326.8,5.585935666666665,4.6156083333333315,53492.0,16214.0,5.585935666666665,,13170.5,32428.0,12348.0,6.016325,5.568955,12348.0,5.5876850000000005,4.76375,53492.0,16214.0,5.5876850000000005,,13182.0,32428.0,12348.0,5.73611,4.87983,12348.0,4.89508,3.48034,53492.0,16214.0,4.89508,,13106.0
dijkstra,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",fibonacci,30,in_process_steady_clock,child_process_wait4,32428.0,22136.0,13.5424,9.88885,22136.0,9.59631,7.21641,725312.0,16214.0,9.59631,,13227.0,32428.0,13326.8,12.575626666666665,9.259727666666665,13326.8,8.713856999999997,6.489711333333333,725312.0,16214.0,8.713856999999997,,13170.5,32428.0,12348.0,12.6272,9.35548,12348.0,8.947485,6.560795000000001,725312.0,16214.0,8.947485,,13182.0,32428.0,12348.0,11.6072,8.33885,12348.0,7.45897,5.62752,725312.0,16214.0,7.45897,,13106.0
dijkstra,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",pairing,30,in_process_steady_clock,child_process_wait4,32428.0,22136.0,11.9904,9.33324,22136.0,9.29364,7.00419,634200.0,16214.0,9.29364,,13227.0,32428.0,13326.8,11.444146666666665,8.587868333333335,13326.8,8.065185000000001,6.2542746666666655,634200.0,16214.0,8.065185000000001,,13170.5,32428.0,12348.0,11.4647,8.679974999999999,12348.0,8.190674999999999,6.262169999999999,634200.0,16214.0,8.190674999999999,,13182.0,32428.0,12348.0,10.9947,7.80261,12348.0,6.68225,5.64599,634200.0,16214.0,6.68225,,13106.0
dijkstra,synthetic,dense_er_np,100,"n=100,p=0.18",binary,30,in_process_steady_clock,child_process_wait4,2004.0,22136.0,0.145721,0.0959493,22136.0,0.087995,0.067536,2448.0,1002.0,0.087995,,271.0,1933.6,13326.8,0.13166879999999997,0.08968048999999999,13326.8,0.07789679999999999,0.05947586666666667,2448.0,966.8,0.07789679999999999,,250.3,1928.0,12348.0,0.130694,0.0887125,12348.0,0.076985,0.0591375,2448.0,964.0,0.076985,,248.5,1870.0,12348.0,0.12222,0.0854997,12348.0,0.074608,0.055746,2448.0,935.0,0.074608,,229.0
