algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,0,11713406.0,169922,0,2478,11713406.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,322,0,11183,11183,17875,2478,,13660,77849,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,0,11713406.0,138222,2478,2478,11713406.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,135744,135744,,11183,322,136324,11183,11183,17875,2478,,13660,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,0,11713406.0,202121,995,2478,11713406.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73828,0,,11183,322,462308,11183,11183,17875,2478,,13660,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,5591,12113148.0,168599,0,2430,12113148.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,268,0,11183,11183,17875,2430,,13612,77190,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,5591,12113148.0,137636,2430,2430,12113148.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,135206,135206,,11183,268,135415,11183,11183,17875,2430,,13612,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,5591,12113148.0,199964,997,2430,12113148.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,70294,0,,11183,268,454687,11183,11183,17875,2430,,13612,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,11182,13037519.0,170661,0,2548,13037519.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,323,0,11183,11183,17875,2548,,13730,78330,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,11182,13037519.0,138696,2548,2548,13037519.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136148,136148,,11183,323,136718,11183,11183,17875,2548,,13730,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,11182,13037519.0,203081,1022,2548,13037519.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,74431,0,,11183,323,464392,11183,11183,17875,2548,,13730,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,0,238642.0,276355,0,4694,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,238642.0,0,1195,0,,,,4694,15876,,168519,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,0,238642.0,59455,4520,4694,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,54761,54761,238642.0,11183,1195,56065,,,,4694,15876,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",0,0,238642.0,125713,3417,4694,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,27823,0,238642.0,11183,1195,255577,,,,4694,15876,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,0,11613811.0,169789,0,2526,11613811.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,386,0,11183,11183,17875,2526,,13708,77830,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,0,11613811.0,138225,2526,2526,11613811.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,135699,135699,,11183,386,136151,11183,11183,17875,2526,,13708,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,0,11613811.0,200673,1038,2526,11613811.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,72063,0,,11183,386,457210,11183,11183,17875,2526,,13708,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,5591,11294659.0,173692,0,2532,11294659.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,381,0,11183,11183,17875,2532,,13714,79763,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,5591,11294659.0,141338,2532,2532,11294659.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,138806,138806,,11183,381,139453,11183,11183,17875,2532,,13714,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,5591,11294659.0,205708,1037,2532,11294659.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,74213,0,,11183,381,469494,11183,11183,17875,2532,,13714,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,11182,12000543.0,171395,0,2522,12000543.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,314,0,11183,11183,17875,2522,,13704,78674,
