algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,0,10252693.0,179174,0,1862,10252693.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,398,0,11325,11325,16214,1862,,13186,82589,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,0,10252693.0,144649,1862,1862,10252693.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,142787,142787,,11325,398,143244,11325,11325,16214,1862,,13186,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,0,10252693.0,212342,784,1862,10252693.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,78383,0,,11325,398,491138,11325,11325,16214,1862,,13186,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,5662,12477175.0,168486,0,1895,12477175.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,296,0,11325,11325,16214,1895,,13219,77607,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,5662,12477175.0,136260,1895,1895,12477175.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,134365,134365,,11325,296,134600,11325,11325,16214,1895,,13219,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,5662,12477175.0,199887,774,1895,12477175.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,73146,0,,11325,296,460808,11325,11325,16214,1895,,13219,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,11324,11791767.0,177001,0,1859,11791767.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,484,0,11325,11325,16214,1859,,13183,81549,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,11324,11791767.0,143501,1859,1859,11791767.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,141642,141642,,11325,484,141855,11325,11325,16214,1859,,13183,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,11324,11791767.0,209337,756,1859,11791767.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,75878,0,,11325,484,482633,11325,11325,16214,1859,,13183,0,
prim,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,0,269067.0,284275,0,3514,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,269067.0,0,1257,0,,,,3514,14838,,175096,11325
prim,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,0,269067.0,55944,3353,3514,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,52430,52430,269067.0,11325,1257,53306,,,,3514,14838,,0,11325
prim,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",0,0,269067.0,124391,2555,3514,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,27524,0,269067.0,11325,1257,260328,,,,3514,14838,,0,11325
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,0,9631951.0,183536,0,1833,9631951.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,475,0,11325,11325,16214,1833,,13157,84608,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,0,9631951.0,148453,1833,1833,9631951.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,146620,146620,,11325,475,146933,11325,11325,16214,1833,,13157,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,0,9631951.0,217389,745,1833,9631951.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,79281,0,,11325,475,502346,11325,11325,16214,1833,,13157,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,5662,12454839.0,171442,0,1833,12454839.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,374,0,11325,11325,16214,1833,,13157,78941,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,5662,12454839.0,138207,1833,1833,12454839.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,136374,136374,,11325,374,136814,11325,11325,16214,1833,,13157,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,5662,12454839.0,202614,759,1833,12454839.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,73899,0,,11325,374,467413,11325,11325,16214,1833,,13157,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,11324,10597160.0,181931,0,1852,10597160.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,494,0,11325,11325,16214,1852,,13176,83832,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,11324,10597160.0,147361,1852,1852,10597160.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,145509,145509,,11325,494,145811,11325,11325,16214,1852,,13176,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,11324,10597160.0,214681,754,1852,10597160.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,76975,0,,11325,494,494505,11325,11325,16214,1852,,13176,0,
prim,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,0,270346.0,283347,0,3576,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,270346.0,0,1239,0,,,,3576,14900,,174219,11325
prim,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,0,270346.0,56320,3418,3576,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,52744,52744,270346.0,11325,1239,53390,,,,3576,14900,,0,11325
prim,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",1,0,270346.0,124230,2533,3576,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,27719,0,270346.0,11325,1239,259813,,,,3576,14900,,0,11325
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,0,10161278.0,180124,0,1865,10161278.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,420,0,11325,11325,16214,1865,,13189,83120,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,0,10161278.0,145531,1865,1865,10161278.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,143666,143666,,11325,420,144138,11325,11325,16214,1865,,13189,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,0,10161278.0,211735,715,1865,10161278.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,77534,0,,11325,420,489184,11325,11325,16214,1865,,13189,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,5662,11910836.0,172036,0,1869,11910836.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,342,0,11325,11325,16214,1869,,13193,79296,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,5662,11910836.0,138635,1869,1869,11910836.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,136766,136766,,11325,342,136952,11325,11325,16214,1869,,13193,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,5662,11910836.0,203177,736,1869,11910836.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,74937,0,,11325,342,469404,11325,11325,16214,1869,,13193,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,11324,11488423.0,176556,0,1827,11488423.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,508,0,11325,11325,16214,1827,,13151,81446,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,11324,11488423.0,142116,1826,1827,11488423.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,140289,140289,,11325,508,140572,11325,11325,16214,1827,,13151,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,11324,11488423.0,207729,766,1827,11488423.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,74529,0,,11325,508,478290,11325,11325,16214,1827,,13151,0,
prim,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,0,270786.0,285958,0,3617,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,270786.0,0,1261,0,,,,3617,14941,,176104,11325
prim,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,0,270786.0,55469,3448,3617,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,51852,51852,270786.0,11325,1261,52628,,,,3617,14941,,0,11325
prim,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",2,0,270786.0,123724,2560,3617,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,27360,0,270786.0,11325,1261,258131,,,,3617,14941,,0,11325
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",3,0,10774386.0,180212,0,1938,10774386.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,430,0,11325,11325,16214,1938,,13262,83261,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",3,0,10774386.0,145008,1938,1938,10774386.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,143070,143070,,11325,430,143447,11325,11325,16214,1938,,13262,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",3,0,10774386.0,212410,747,1938,10774386.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,78213,0,,11325,430,490751,11325,11325,16214,1938,,13262,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",3,5662,12665438.0,170050,0,1918,12665438.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,341,0,11325,11325,16214,1918,,13242,78273,
