algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,synthetic,sparse_er_nm,25,"n=25,m=75",0,0,1508.0,174,0,14,1508.0,150,25,6.0,False,10,75,25,25,0,0,,0,15,0,25,25,75,14,,38,73,
dijkstra,pairing,synthetic,sparse_er_nm,25,"n=25,m=75",0,0,1508.0,133,14,14,1508.0,150,25,6.0,False,10,75,25,25,119,119,,25,15,129,25,25,75,14,,38,0,
dijkstra,fibonacci,synthetic,sparse_er_nm,25,"n=25,m=75",0,0,1508.0,196,5,14,1508.0,150,25,6.0,False,10,75,25,25,53,0,,25,15,364,25,25,75,14,,38,0,
dijkstra,binary,synthetic,sparse_er_nm,25,"n=25,m=75",0,12,1206.0,161,0,13,1206.0,150,25,6.0,False,10,75,25,25,0,0,,0,15,0,25,25,75,13,,37,66,
dijkstra,pairing,synthetic,sparse_er_nm,25,"n=25,m=75",0,12,1206.0,130,13,13,1206.0,150,25,6.0,False,10,75,25,25,117,117,,25,15,118,25,25,75,13,,37,0,
dijkstra,fibonacci,synthetic,sparse_er_nm,25,"n=25,m=75",0,12,1206.0,204,4,13,1206.0,150,25,6.0,False,10,75,25,25,58,0,,25,15,388,25,25,75,13,,37,0,
dijkstra,binary,synthetic,sparse_er_nm,25,"n=25,m=75",0,24,3090.0,155,0,10,3090.0,150,25,6.0,False,10,75,25,25,0,0,,0,15,0,25,25,75,10,,34,63,
dijkstra,pairing,synthetic,sparse_er_nm,25,"n=25,m=75",0,24,3090.0,130,10,10,3090.0,150,25,6.0,False,10,75,25,25,120,120,,25,15,123,25,25,75,10,,34,0,
dijkstra,fibonacci,synthetic,sparse_er_nm,25,"n=25,m=75",0,24,3090.0,173,4,10,3090.0,150,25,6.0,False,10,75,25,25,49,0,,25,15,333,25,25,75,10,,34,0,
prim,binary,synthetic,sparse_er_nm,25,"n=25,m=75",0,0,502.0,209,0,27,,150,25,6.0,False,10,75,25,25,0,0,502.0,0,15,0,,,,27,51,,94,25
prim,pairing,synthetic,sparse_er_nm,25,"n=25,m=75",0,0,502.0,121,26,27,,150,25,6.0,False,10,75,25,25,94,94,502.0,25,15,107,,,,27,51,,0,25
prim,fibonacci,synthetic,sparse_er_nm,25,"n=25,m=75",0,0,502.0,200,13,27,,150,25,6.0,False,10,75,25,25,38,0,502.0,25,15,284,,,,27,51,,0,25
dijkstra,binary,synthetic,sparse_er_nm,50,"n=50,m=150",0,0,2573.0,464,0,35,2573.0,300,50,6.0,False,15,150,50,50,0,0,,0,29,0,50,50,150,35,,84,206,
dijkstra,pairing,synthetic,sparse_er_nm,50,"n=50,m=150",0,0,2573.0,363,35,35,2573.0,300,50,6.0,False,15,150,50,50,328,328,,50,29,349,50,50,150,35,,84,0,
dijkstra,fibonacci,synthetic,sparse_er_nm,50,"n=50,m=150",0,0,2573.0,507,10,35,2573.0,300,50,6.0,False,15,150,50,50,141,0,,50,29,942,50,50,150,35,,84,0,
dijkstra,binary,synthetic,sparse_er_nm,50,"n=50,m=150",0,25,3898.0,431,0,30,3898.0,300,50,6.0,False,15,150,50,50,0,0,,0,29,0,50,50,150,30,,79,182,
dijkstra,pairing,synthetic,sparse_er_nm,50,"n=50,m=150",0,25,3898.0,339,30,30,3898.0,300,50,6.0,False,15,150,50,50,309,309,,50,29,330,50,50,150,30,,79,0,
